เขต,ชุมชน (ชุมชน),ประชากร (คน),ครอบครัว (ครอบครัว),หลังคาเรือน (หลัง),District,LAT,LONG
คลองสาน,34,69139,7343,39924,คลองสาน,13.7265,100.5025
คลองสามวา,84,204900,14384,86477,คลองสามวา,13.8678,100.7398
คลองเตย,39,93193,18956,77502,คลองเตย,13.713333333333331,100.57866666666666
คันนายาว,42,96330,8605,45864,คันนายาว,13.821,100.677
จตุจักร,41,155297,9867,126570,จตุจักร,13.826,100.565
จอมทอง,48,148290,8471,73778,จอมทอง,13.69025,100.4655
ดอนเมือง,95,170791,25779,77410,ดอนเมือง,13.925,100.593
ดินแดง,23,115508,6413,63821,ดินแดง,13.778,100.567
ดุสิต,44,83897,8512,31653,ดุสิต,13.7728,100.5154
ตลิ่งชัน,43,103617,7259,42898,ตลิ่งชัน,13.7675,100.43983333333334
ทวีวัฒนา,16,78749,3706,34420,ทวีวัฒนา,13.770499999999998,100.369
ทุ่งครุ,29,123700,6015,54595,ทุ่งครุ,13.6325,100.5035
ธนบุรี,43,103377,12538,57707,ธนบุรี,13.722,100.4848
บางกอกน้อย,37,103791,17289,50652,บางกอกน้อย,13.7634,100.4728
บางกอกใหญ่,30,63861,3634,32258,บางกอกใหญ่,13.738,100.4805
บางกะปิ,27,144732,7340,107103,บางกะปิ,13.771,100.6475
บางขุนเทียน,51,186144,12859,91013,บางขุนเทียน,13.58,100.4145
บางคอแหลม,28,82733,7179,39812,บางคอแหลม,13.698666666666668,100.506
บางซื่อ,50,122410,7723,76116,บางซื่อ,13.82,100.529
บางนา,35,88535,7898,72092,บางนา,13.672,100.616
บางบอน,12,104366,1975,50825,บางบอน,13.646,100.37
บางพลัด,48,89417,10107,55838,บางพลัด,13.787,100.49325
บางรัก,15,45757,3615,32371,บางรัก,13.728,100.5232
บางเขน,72,187377,17664,114661,บางเขน,13.867,100.628
บางแค,48,193303,7895,94020,บางแค,13.7105,100.3975
บึงกุ่ม,37,140817,10141,75943,บึงกุ่ม,13.808,100.65
ปทุมวัน,17,43338,4888,32590,ปทุมวัน,13.7405,100.53175
ประเวศ,44,181821,9652,92009,ประเวศ,13.695333333333332,100.66966666666669
ป้อมปราบศัตรูพ่าย,14,41524,2086,19627,ป้อมปราบศัตรูพ่าย,13.7512,100.5114
พญาไท,22,67388,6285,44727,พญาไท,13.782,100.545
พระนคร,20,44923,4398,19137,พระนคร,13.756416666666668,100.49925
พระโขนง,44,87856,6330,60007,พระโขนง,13.692,100.626
ภาษีเจริญ,51,124318,9425,65843,ภาษีเจริญ,13.726714285714284,100.44557142857144
มีนบุรี,63,142197,18354,61665,มีนบุรี,13.808,100.7485
ยานนาวา,17,76564,3004,53614,ยานนาวา,13.6895,100.5385
ราชเทวี,24,69264,4580,52494,ราชเทวี,13.756,100.53875
ราษฎร์บูรณะ,28,78687,3674,37664,ราษฎร์บูรณะ,13.6725,100.5005
ลาดกระบัง,65,178971,22316,98260,ลาดกระบัง,13.743,100.78916666666667
ลาดพร้าว,36,117108,12049,57916,ลาดพร้าว,13.8255,100.606
วังทองหลาง,19,107458,4372,62673,วังทองหลาง,13.779,100.609
วัฒนา,16,81623,3469,82407,วัฒนา,13.732666666666669,100.57733333333331
สวนหลวง,45,123609,7648,81116,สวนหลวง,13.726,100.628
สะพานสูง,29,96092,7760,41308,สะพานสูง,13.761,100.688
สัมพันธวงศ์,17,21324,1769,13197,สัมพันธวงศ์,13.738,100.50933333333334
สาทร,24,75735,5383,43459,สาทร,13.714,100.529
สายไหม,78,207272,23455,106139,สายไหม,13.905,100.652
หนองจอก,98,177979,17667,66754,หนองจอก,13.85125,100.856125
หนองแขม,71,156203,15045,62675,หนองแขม,13.697,100.3545
หลักสี่,78,102704,17367,57833,หลักสี่,13.877,100.572
ห้วยขวาง,22,84233,3507,85046,ห้วยขวาง,13.772333333333334,100.58066666666666
