name,lat,lng
โรงพยาบาลธนบุรี,13.7529428,100.480116
โรงพยาบาลมงกุฎวัฒนะ,13.8939018,100.5616676
รพ.ภูมิพลอดุลยเดช พอ,13.9090183,100.6181733
สถานีกาชาดที่ 11 วิเศษนิยม,13.7125212,100.4356835
Prodenta Dental Clinic,13.8343627,100.6110973
Kudos By Tarakorn,13.8343093,100.6110893
Pruksa Clinic,13.834407,100.6110584
S-Smart Clinic,13.8345164,100.6110973
charisma,13.7280179,100.5742113
โรงพยาบาล​เทพธารินทร์,13.7144385,100.5770853
โรงพยาบาลเดชา,13.7568871,100.5355632
อะเบาท์ทูธเดนทัลคลินิก,13.7613044,100.4971839
โรงพยาบาลเมโย,13.8354411,100.5738973
โรงพยาบาลเวชการุณย์รัศมิ์,13.8565652,100.8590001
โรงพยาบาล นวมินทร์ 9,13.8112938,100.7239005
โรงพยาบาลนครธน,13.6606056,100.4343189
โรงพยาบาลพระราม 2,13.6517376,100.422095
Meko Clinic The Mall Bangkapi เมโกะ สาขา เดอะมอลล์บางกะปิ,13.76572,100.642388
Meko Clinic Thonglor เมโกะ สาขา ทองหล่อ,13.7275177,100.5807031
Meko Clinic CentralPlaza Rama 2 เมโกะ สาขา เซนทรัลพระราม 2,13.6630939,100.4375344
โรงพยาบาลสิรินธร,13.7176626,100.7065976
นพรัตราชธานี,13.8170195,100.6879143
ผู้สูงอายุบางขุนเทียน,13.5728824,100.4226796
โรงพยาบาลบางมด,13.6717413,100.4564932
โรงพยาบาลชุมชน นาควัชระอุทิศ,13.6901194,100.3702392
โรงพยาบาล เสรีรักษ์,13.8111264,100.7173999
Bangkok cancer specialist center,13.7789557,100.5426413
รพ.ตา หู คอ จมูก,13.7878138,100.4704126
โรงพยาบาลบางโพ,13.8069296,100.5228894
Home for the Blind,13.8453044,100.6352788
สถานพยาบาลแพทย์แผนจีน มหาวิทยาลัยราชภัฏจันทรเกษม,13.8189754,100.5756447
Mahesak Hospital,13.7253,100.5195673
HE Clinic for men,13.7261339,100.5802013
บ้านแบ่งบุญ,13.8054223,100.6626138
คลินิกตจแพทย์,13.7896637,100.6074091
วชิรพยาบาล,13.7810093,100.5082625
โรงพยาบาลบางไผ่,13.7249938,100.4650089
Serene Hospital,13.7404216,100.6536188
โรงพยาบาล​ทหารผ่านศึก​,13.7718882,100.5516101
Anonymous MedConsult Clinic,13.7366322,100.5759328
โรงพยาบาลฟัน กรุงเทพ อินเตอร์เนชั่นแนล,13.7384692,100.5514221
Ibaby Fertility & Genetic Center,13.7413564,100.5487939
Ratchakru Medical Center,13.7775546,100.542245
Mandarin Clinic Rama 4,13.7159788,100.5746292
mandarin clinic rama 2,13.6880969,100.4836161
EKI-IVF Centre,13.7553387,100.5726682
ศูนย์บริการเครื่องช่วยฟังอินทิเม็กซ์,13.7946243,100.5385011
โรงพยาบาลบางนากรุงเทพมหานคร,13.6797164,100.5926741
โรงพยาบาลรัชดา-ท่าพระ,13.7171235,100.4774705
โรงพยาบาลแพทย์ปัญญา,13.7438623,100.6074137
โรงพยาบาลเยาวรักษ์,13.7199502,100.4747209
โรงพยาบาลลาดกระบัง,13.7222822,100.7848808
โรงพยาบาลกล้วยน้ำไท,13.7150697,100.5864751
โรงพยาบาลราชานุกูล,13.7620932,100.5541974
โรงพยาบาลสินแพทย์,13.8372518,100.6650317
โรงพยาบาลฮั้วยันฮัม,13.8141759,100.6360182
โรงพยาบาลสยาม,13.8022151,100.596123
โรงพยาบาลโรคปอดกรุงเทพ,13.7847939,100.5459362
โรงพยาบาลบุรฉัตรไชยากร,13.7520786,100.5516493
โรงพยาบาลกรุณาพิทักษ์,13.7089878,100.5454212
โรงพยาบาลราษฎร์บูรณะ,13.678055,100.5025864
โรงพยาบาลกรุงธน 2,13.6760534,100.5010521
โรงพยาบาลรามาสุขสวัสดิ์,13.677492,100.4985952
โรงพยาบาลบางปะกอก 1,13.6787951,100.4989117
โรงพยาบาลมิตรภาพ,13.7284992,100.4945505
โรงพยาบาลพระราม 2,13.6517497,100.4220718
โรงพยาบาลบีแคร์เมดิคอลเซ็นเตอร์,13.9436991,100.6247073
สถาบันกัลยาณ์ราชนครินทร์,13.762015,100.3323036
โรงพยาบาลธนบุรี 2,13.7831371,100.4009736
โรงพยาบาลวิชัยเวช อินเตอร์เนชั่นแนล หนองแขม,13.7076276,100.3608638
โรงพยาบาลหลวงพ่อทวีศักดิ์,13.6563448,100.3453177
ศศิรักษ์คลินิกเวชกรรม,13.7093097,100.3880494
WIH International Hospital,13.6638559,100.6505749
Bamrungrad International Hospital - โรงพยาบาลบำรุงราษฎร์,13.7462883,100.5524472
Huachiew TCM,13.7501618,100.5165921
Thai Nakarin Hospital,13.667771,100.6384117
Bangna Hospital,13.6669429,100.635481
Smile Together Clinic,13.8180636,100.6548199
โรงพยาบาลสมิติเวช สุขุมวิท,13.734926969817513,100.57656532467419
โรงพยาบาลวิภาวดี,13.846153693308972,100.56195649346974
โรงพยาบาลจุฬาลงกรณ์,13.732499897883908,100.53557972077014
